CommType,ID,ReceiveTime,SourceID,MsgId,PosTime,Lon,Lat,Cog,Sog,TrueHeading,NavigationStatus,ROT,PosAccuracy,A,B,C,D,E,F,G,H
1,413976765,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,71960008,19230963,1557.0,62.0,155.0,,,0,60,0,0.0,0.0,0.0,0.0,6003.0,
1,413775025,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72426530,18365917,1902.0,31.0,,,,0,1,0,1.0,1.0,1.0,0.0,393222.0,
1,413838746,2022-01-15 00:00:03,7,19,2022-01-15 00:00:01,67824080,13465160,2375.0,0.0,,,,0,60,0,0.0,1.0,,,,
1,412302790,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,73673187,21947258,1834.0,100.0,,0.0,,0,2,0,0.0,,,,,
1,413766777,2022-01-15 00:00:03,7,18,2022-01-14 23:59:34,71926554,19328094,1618.0,73.0,161.0,,,0,34,1,1.0,1.0,0.0,0.0,393222.0,
1,413353320,2022-01-15 00:00:03,7,19,2022-01-15 00:00:01,70696580,14666100,1186.0,0.0,,,,0,60,0,0.0,1.0,,,,
1,412158000,2022-01-15 00:00:03,9,3,2022-01-14 23:59:59,73667823,22704820,2966.0,116.0,296.0,0.0,0.0,1,59,0,0.0,,,,,
1,413428290,2022-01-15 00:00:03,9,1,2022-01-15 00:00:00,72830349,22980844,1243.0,108.0,179.0,0.0,,0,0,0,0.0,,,,,
1,413235020,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,73031320,18784640,3149.0,106.0,312.0,0.0,0.0,1,1,0,1.0,,,,,
1,413331820,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72834888,22526778,3561.0,1.0,263.0,5.0,,1,1,0,1.0,,,,,
1,413903616,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,68250843,13566881,3293.0,54.0,,,,0,1,0,1.0,1.0,1.0,0.0,393222.0,
1,413855783,2022-01-15 00:00:03,7,18,2022-01-14 23:59:49,71598040,18866616,771.0,36.0,,,,0,49,1,0.0,0.0,1.0,0.0,393216.0,
1,413807317,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72420186,19020519,2090.0,1.0,209.0,,,1,60,0,0.0,0.0,0.0,0.0,6003.0,
1,413866618,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,68159526,13693279,3234.0,62.0,322.0,,,0,1,1,1.0,1.0,1.0,0.0,393222.0,
1,305859000,2022-01-15 00:00:03,7,3,2022-01-14 23:59:59,72928076,19296397,1978.0,0.0,116.0,5.0,0.0,0,59,0,0.0,,,,,
1,413836114,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72681448,19022414,1252.0,80.0,12.0,0.0,,0,1,0,0.0,,,,,
1,413365250,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,71067970,14813905,3412.0,2.0,341.0,,,0,1,1,1.0,1.0,1.0,0.0,393222.0,
1,413991823,2022-01-15 00:00:03,7,18,2022-01-14 23:59:59,72593818,18418275,3218.0,34.0,321.0,,,0,59,0,1.0,1.0,1.0,0.0,393222.0,
1,413856525,2022-01-15 00:00:03,7,19,2022-01-15 00:00:01,72491886,18496452,1957.0,1.0,,,,0,60,0,0.0,1.0,,,,
1,413991836,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72542629,19094455,1536.0,81.0,,,,0,1,1,1.0,0.0,0.0,0.0,393222.0,
1,413553980,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72688870,16786551,1627.0,70.0,159.0,0.0,0.0,0,2,0,1.0,,,,,
1,413445980,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,73363408,17965790,2968.0,0.0,139.0,0.0,0.0,0,2,0,1.0,,,,,
1,413835255,2022-01-15 00:00:03,7,3,2022-01-15 00:00:01,72636864,19064958,33.0,69.0,0.0,0.0,-127.0,1,1,0,1.0,,,,,
1,413867163,2022-01-15 00:00:03,7,19,2022-01-15 00:00:01,71420440,19317256,2465.0,52.0,,,,0,60,0,0.0,1.0,,,,
1,413330910,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,72829200,22603800,1365.0,91.0,138.0,0.0,0.0,0,0,0,0.0,,,,,
1,244070038,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,3261023,31512209,0.0,0.0,,0.0,,1,2,0,1.0,,,,,
1,538007797,2022-01-15 00:00:03,7,1,2022-01-14 23:59:47,17339443,24430921,642.0,2.0,283.0,0.0,-2.0,1,47,0,0.0,,,,,
1,249637000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,14813996,22815539,406.0,120.0,40.0,0.0,0.0,1,60,0,0.0,,,,,
1,636018389,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,14116946,22693240,870.0,7.0,,0.0,,1,1,0,1.0,,,,,
1,636020062,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,8328740,33019070,2480.0,117.0,249.0,0.0,0.0,0,59,0,0.0,,,,,
1,265590730,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,10858798,35584979,,0.0,,0.0,,0,2,0,0.0,,,,,
1,565347000,2022-01-15 00:00:03,7,1,2022-01-14 23:59:36,71866962,8846223,3549.0,126.0,355.0,0.0,0.0,0,36,0,0.0,,,,,
1,538008704,2022-01-15 00:00:03,7,1,2022-01-14 23:59:56,71994905,8782671,2399.0,12.0,358.0,0.0,0.0,0,56,0,0.0,,,,,
1,563035210,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,62189930,772209,,0.0,246.0,0.0,0.0,0,2,0,0.0,,,,,
1,431296000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,-47652649,19533954,2478.0,75.0,251.0,0.0,0.0,0,3,0,0.0,,,,,
1,209672000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,-3135867,29942795,926.0,116.0,94.0,0.0,13.0,0,1,0,0.0,,,,,
1,413904351,2022-01-15 00:00:03,9,18,2022-01-15 00:00:02,68044838,13582447,2250.0,0.0,,,,0,2,0,1.0,1.0,1.0,0.0,393222.0,
1,413700040,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,67469321,12793666,631.0,83.0,66.0,0.0,0.0,0,2,0,1.0,,,,,
